edge,node_from,node_to,,,,,,,
AUS-BRA,AUS,BRA,,,,,,,
AUS-CHE,AUS,CHE,,,,,,,
AUS-CHN,AUS,CHN,,,,,,,
AUS-DEU,AUS,DEU,,,,,,,
AUS-DNK,AUS,DNK,,,,,,,
AUS-GBR,AUS,GBR,,,,,,,
AUS-IND,AUS,IND,,,,,,,
AUS-JPN,AUS,JPN,,,,,,,
AUS-NLD,AUS,NLD,,,,,,,
AUS-ROE,AUS,ROE,,,,,,,
AUS-ROW,AUS,ROW,,,,,,,
AUS-SWE,AUS,SWE,,,,,,,
AUS-USA,AUS,USA,,,,,,,
BRA-AUS,BRA,AUS,,,,,,,
BRA-CHE,BRA,CHE,,,,,,,
BRA-CHN,BRA,CHN,,,,,,,
BRA-DEU,BRA,DEU,,,,,,,
BRA-DNK,BRA,DNK,,,,,,,
BRA-GBR,BRA,GBR,,,,,,,
BRA-IND,BRA,IND,,,,,,,
BRA-JPN,BRA,JPN,,,,,,,
BRA-NLD,BRA,NLD,,,,,,,
BRA-ROE,BRA,ROE,,,,,,,
BRA-ROW,BRA,ROW,,,,,,,
BRA-SWE,BRA,SWE,,,,,,,
BRA-USA,BRA,USA,,,,,,,
CHE-AUS,CHE,AUS,,,,,,,
CHE-BRA,CHE,BRA,,,,,,,
CHE-CHN,CHE,CHN,,,,,,,
CHE-DEU,CHE,DEU,,,,,,,
CHE-DNK,CHE,DNK,,,,,,,
CHE-GBR,CHE,GBR,,,,,,,
CHE-IND,CHE,IND,,,,,,,
CHE-JPN,CHE,JPN,,,,,,,
CHE-NLD,CHE,NLD,,,,,,,
CHE-ROE,CHE,ROE,,,,,,,
CHE-ROW,CHE,ROW,,,,,,,
CHE-SWE,CHE,SWE,,,,,,,
CHE-USA,CHE,USA,,,,,,,
CHN-AUS,CHN,AUS,,,,,,,
CHN-BRA,CHN,BRA,,,,,,,
CHN-CHE,CHN,CHE,,,,,,,
CHN-DEU,CHN,DEU,,,,,,,
CHN-DNK,CHN,DNK,,,,,,,
CHN-GBR,CHN,GBR,,,,,,,
CHN-IND,CHN,IND,,,,,,,
CHN-JPN,CHN,JPN,,,,,,,
CHN-NLD,CHN,NLD,,,,,,,
CHN-ROE,CHN,ROE,,,,,,,
CHN-ROW,CHN,ROW,,,,,,,
CHN-SWE,CHN,SWE,,,,,,,
CHN-USA,CHN,USA,,,,,,,
DEU-AUS,DEU,AUS,,,,,,,
DEU-BRA,DEU,BRA,,,,,,,
DEU-CHE,DEU,CHE,,,,,,,
DEU-CHN,DEU,CHN,,,,,,,
DEU-DNK,DEU,DNK,,,,,,,
DEU-GBR,DEU,GBR,,,,,,,
DEU-IND,DEU,IND,,,,,,,
DEU-JPN,DEU,JPN,,,,,,,
DEU-NLD,DEU,NLD,,,,,,,
DEU-ROE,DEU,ROE,,,,,,,
DEU-ROW,DEU,ROW,,,,,,,
DEU-SWE,DEU,SWE,,,,,,,
DEU-USA,DEU,USA,,,,,,,
DNK-AUS,DNK,AUS,,,,,,,
DNK-BRA,DNK,BRA,,,,,,,
DNK-CHE,DNK,CHE,,,,,,,
DNK-CHN,DNK,CHN,,,,,,,
DNK-DEU,DNK,DEU,,,,,,,
DNK-GBR,DNK,GBR,,,,,,,
DNK-IND,DNK,IND,,,,,,,
DNK-JPN,DNK,JPN,,,,,,,
DNK-NLD,DNK,NLD,,,,,,,
DNK-ROE,DNK,ROE,,,,,,,
DNK-ROW,DNK,ROW,,,,,,,
DNK-SWE,DNK,SWE,,,,,,,
DNK-USA,DNK,USA,,,,,,,
GBR-AUS,GBR,AUS,,,,,,,
GBR-BRA,GBR,BRA,,,,,,,
GBR-CHE,GBR,CHE,,,,,,,
GBR-CHN,GBR,CHN,,,,,,,
GBR-DEU,GBR,DEU,,,,,,,
GBR-DNK,GBR,DNK,,,,,,,
GBR-IND,GBR,IND,,,,,,,
GBR-JPN,GBR,JPN,,,,,,,
GBR-NLD,GBR,NLD,,,,,,,
GBR-ROE,GBR,ROE,,,,,,,
GBR-ROW,GBR,ROW,,,,,,,
GBR-SWE,GBR,SWE,,,,,,,
GBR-USA,GBR,USA,,,,,,,
IND-AUS,IND,AUS,,,,,,,
IND-BRA,IND,BRA,,,,,,,
IND-CHE,IND,CHE,,,,,,,
IND-CHN,IND,CHN,,,,,,,
IND-DEU,IND,DEU,,,,,,,
IND-DNK,IND,DNK,,,,,,,
IND-GBR,IND,GBR,,,,,,,
IND-JPN,IND,JPN,,,,,,,
IND-NLD,IND,NLD,,,,,,,
IND-ROE,IND,ROE,,,,,,,
IND-ROW,IND,ROW,,,,,,,
IND-SWE,IND,SWE,,,,,,,
IND-USA,IND,USA,,,,,,,
JPN-AUS,JPN,AUS,,,,,,,
JPN-BRA,JPN,BRA,,,,,,,
JPN-CHE,JPN,CHE,,,,,,,
JPN-CHN,JPN,CHN,,,,,,,
JPN-DEU,JPN,DEU,,,,,,,
JPN-DNK,JPN,DNK,,,,,,,
JPN-GBR,JPN,GBR,,,,,,,
JPN-IND,JPN,IND,,,,,,,
JPN-NLD,JPN,NLD,,,,,,,
JPN-ROE,JPN,ROE,,,,,,,
JPN-ROW,JPN,ROW,,,,,,,
JPN-SWE,JPN,SWE,,,,,,,
JPN-USA,JPN,USA,,,,,,,
NLD-AUS,NLD,AUS,,,,,,,
NLD-BRA,NLD,BRA,,,,,,,
NLD-CHE,NLD,CHE,,,,,,,
NLD-CHN,NLD,CHN,,,,,,,
NLD-DEU,NLD,DEU,,,,,,,
NLD-DNK,NLD,DNK,,,,,,,
NLD-GBR,NLD,GBR,,,,,,,
NLD-IND,NLD,IND,,,,,,,
NLD-JPN,NLD,JPN,,,,,,,
NLD-ROE,NLD,ROE,,,,,,,
NLD-ROW,NLD,ROW,,,,,,,
NLD-SWE,NLD,SWE,,,,,,,
NLD-USA,NLD,USA,,,,,,,
ROE-AUS,ROE,AUS,,,,,,,
ROE-BRA,ROE,BRA,,,,,,,
ROE-CHE,ROE,CHE,,,,,,,
ROE-CHN,ROE,CHN,,,,,,,
ROE-DEU,ROE,DEU,,,,,,,
ROE-DNK,ROE,DNK,,,,,,,
ROE-GBR,ROE,GBR,,,,,,,
ROE-IND,ROE,IND,,,,,,,
ROE-JPN,ROE,JPN,,,,,,,
ROE-NLD,ROE,NLD,,,,,,,
ROE-ROW,ROE,ROW,,,,,,,
ROE-SWE,ROE,SWE,,,,,,,
ROE-USA,ROE,USA,,,,,,,
ROW-AUS,ROW,AUS,,,,,,,
ROW-BRA,ROW,BRA,,,,,,,
ROW-CHE,ROW,CHE,,,,,,,
ROW-CHN,ROW,CHN,,,,,,,
ROW-DEU,ROW,DEU,,,,,,,
ROW-DNK,ROW,DNK,,,,,,,
ROW-GBR,ROW,GBR,,,,,,,
ROW-IND,ROW,IND,,,,,,,
ROW-JPN,ROW,JPN,,,,,,,
ROW-NLD,ROW,NLD,,,,,,,
ROW-ROE,ROW,ROE,,,,,,,
ROW-SWE,ROW,SWE,,,,,,,
ROW-USA,ROW,USA,,,,,,,
SWE-AUS,SWE,AUS,,,,,,,
SWE-BRA,SWE,BRA,,,,,,,
SWE-CHE,SWE,CHE,,,,,,,
SWE-CHN,SWE,CHN,,,,,,,
SWE-DEU,SWE,DEU,,,,,,,
SWE-DNK,SWE,DNK,,,,,,,
SWE-GBR,SWE,GBR,,,,,,,
SWE-IND,SWE,IND,,,,,,,
SWE-JPN,SWE,JPN,,,,,,,
SWE-NLD,SWE,NLD,,,,,,,
SWE-ROE,SWE,ROE,,,,,,,
SWE-ROW,SWE,ROW,,,,,,,
SWE-USA,SWE,USA,,,,,,,
USA-AUS,USA,AUS,,,,,,,
USA-BRA,USA,BRA,,,,,,,
USA-CHE,USA,CHE,,,,,,,
USA-CHN,USA,CHN,,,,,,,
USA-DEU,USA,DEU,,,,,,,
USA-DNK,USA,DNK,,,,,,,
USA-GBR,USA,GBR,,,,,,,
USA-IND,USA,IND,,,,,,,
USA-JPN,USA,JPN,,,,,,,
USA-NLD,USA,NLD,,,,,,,
USA-ROE,USA,ROE,,,,,,,
USA-ROW,USA,ROW,,,,,,,
USA-SWE,USA,SWE,,,,,,,